LOCATION,Country
AUS,Australia
AUT,Austria
BEL,Belgium
CAN,Canada
CZE,Czechia
DNK,Denmark
FIN,Finland
FRA,France
DEU,Germany
GRC,Greece
HUN,Hungary
ISL,Iceland
IRL,Ireland
ITA,Italy
JPN,Japan
KOR,Korea
LUX,Luxembourg
MEX,Mexico
NLD,Netherlands
NZL,New Zealand
NOR,Norway
POL,Poland
PRT,Portugal
SVK,Slovak Republic
ESP,Spain
SWE,Sweden
CHE,Switzerland
TUR,Türkiye
GBR,United Kingdom
USA,United States
CHL,Chile
EST,Estonia
ISR,Israel
RUS,Russia
SVN,Slovenia
OECD,OECD - Total
EU28,European Union (28 countries)
G-7,G7
LVA,Latvia
LTU,Lithuania
EA19,Euro area (19 countries)
ZAF,South Africa
CRI,Costa Rica
BGR,Bulgaria
HRV,Croatia
ROU,Romania
EU27_2020,European Union – 27 countries (from 01/02/2020)
COL,Colombia
